ts_utc,exchange,symbol,price,rsi,signal,timeframe
2025-09-30 15:00:30 UTC,kraken,SOL/USD,208.75,62.1102,HOLD,5m
2025-09-30 15:00:33 UTC,kraken,DOGE/USD,0.2294948,54.4375,HOLD,5m
2025-09-30 15:00:35 UTC,kraken,XRP/USD,2.8468,51.5682,HOLD,5m
2025-09-30 15:00:37 UTC,kraken,ADA/USD,0.791673,54.5948,HOLD,5m
2025-09-30 15:00:39 UTC,kraken,AVAX/USD,29.33,55.0404,HOLD,5m
2025-09-30 15:00:42 UTC,kraken,ATOM/USD,4.0274,41.6265,HOLD,5m
2025-09-30 15:00:44 UTC,kraken,LINK/USD,21.31815,50.1268,HOLD,5m
2025-09-30 15:00:46 UTC,kraken,LTC/USD,105.21,50.8541,HOLD,5m
2025-09-30 15:00:48 UTC,kraken,DOT/USD,3.8783,49.9058,HOLD,5m
2025-09-30 15:00:50 UTC,kraken,BCH/USD,553.92,60.9411,HOLD,5m
2025-09-30 15:00:53 UTC,kraken,SHIB/USD,1.171e-05,50.5315,HOLD,5m
2025-09-30 15:00:55 UTC,kraken,UNI/USD,7.548,52.0613,HOLD,5m
2025-09-30 15:00:57 UTC,kraken,XLM/USD,0.363105,47.4584,HOLD,5m
2025-09-30 15:00:59 UTC,kraken,ETC/USD,18.302,36.9343,HOLD,5m
2025-09-30 15:01:02 UTC,kraken,POL/USD,0.22455,50.7386,HOLD,5m
2025-09-30 15:06:02 UTC,kraken,BTC/USD,113500.1,58.1961,28.8661,0.7589,HOLD,5m
2025-09-30 15:06:04 UTC,kraken,ETH/USD,4140.64,45.7687,0.9488,0.4117,HOLD,5m
2025-09-30 15:06:06 UTC,kraken,SOL/USD,207.94,54.1127,0.0852,0.5956,HOLD,5m
2025-09-30 15:06:08 UTC,kraken,DOGE/USD,0.2288662,47.2751,0.0001,0.4263,HOLD,5m
2025-09-30 15:06:11 UTC,kraken,XRP/USD,2.84747,52.3632,0.0009,0.6411,HOLD,5m
2025-09-30 15:06:13 UTC,kraken,ADA/USD,0.788924,47.2381,-0.0000,0.3409,HOLD,5m
2025-09-30 15:06:15 UTC,kraken,AVAX/USD,29.25,49.1020,0.0203,0.5576,HOLD,5m
2025-09-30 15:06:17 UTC,kraken,ATOM/USD,4.023,39.1385,-0.0011,0.1490,HOLD,5m
2025-09-30 15:06:19 UTC,kraken,LINK/USD,21.2158,40.8695,-0.0032,0.1904,HOLD,5m
2025-09-30 15:06:22 UTC,kraken,LTC/USD,104.95,41.8059,-0.0015,0.2848,HOLD,5m
2025-09-30 15:06:24 UTC,kraken,DOT/USD,3.868,44.6429,-0.0005,0.2750,HOLD,5m
2025-09-30 15:06:26 UTC,kraken,BCH/USD,553.92,60.9411,0.2054,0.8285,HOLD,5m
2025-09-30 15:06:28 UTC,kraken,SHIB/USD,1.169e-05,46.5752,0.0000,0.3781,HOLD,5m
2025-09-30 15:06:30 UTC,kraken,UNI/USD,7.522,45.2403,0.0023,0.4123,HOLD,5m
2025-09-30 15:06:33 UTC,kraken,XLM/USD,0.362212,41.3285,-0.0000,0.1360,HOLD,5m
2025-09-30 15:06:35 UTC,kraken,ETC/USD,18.302,36.9343,-0.0065,0.2786,HOLD,5m
2025-09-30 15:06:37 UTC,kraken,POL/USD,0.224,45.2961,-0.0001,0.2832,HOLD,5m
2025-09-30 15:06:54 UTC,kraken,BTC/USD,113443.4,56.0838,25.2476,0.6788,HOLD,5m
2025-09-30 15:06:57 UTC,kraken,ETH/USD,4137.85,44.2874,0.7707,0.3614,HOLD,5m
2025-09-30 15:06:59 UTC,kraken,SOL/USD,207.94,54.0212,0.0845,0.5957,HOLD,5m
2025-09-30 15:07:01 UTC,kraken,DOGE/USD,0.2286673,45.3704,0.0000,0.3608,HOLD,5m
2025-09-30 15:07:03 UTC,kraken,XRP/USD,2.84337,49.4767,0.0008,0.4692,HOLD,5m
2025-09-30 15:07:05 UTC,kraken,ADA/USD,0.788125,45.3644,-0.0001,0.2406,HOLD,5m
2025-09-30 15:07:08 UTC,kraken,AVAX/USD,29.25,49.1020,0.0203,0.5576,HOLD,5m
2025-09-30 15:07:10 UTC,kraken,ATOM/USD,4.0187,36.8223,-0.0014,0.0541,HOLD,5m
2025-09-30 15:07:12 UTC,kraken,LINK/USD,21.20174,39.7865,-0.0041,0.1428,HOLD,5m
2025-09-30 15:07:14 UTC,kraken,LTC/USD,104.91,40.6146,-0.0041,0.2437,HOLD,5m
2025-09-30 15:07:16 UTC,kraken,DOT/USD,3.868,44.6429,-0.0005,0.2750,HOLD,5m
2025-09-30 15:07:19 UTC,kraken,BCH/USD,553.92,60.9411,0.2054,0.8285,HOLD,5m
2025-09-30 15:07:21 UTC,kraken,SHIB/USD,1.169e-05,46.5752,0.0000,0.3781,HOLD,5m
2025-09-30 15:07:23 UTC,kraken,UNI/USD,7.522,45.2403,0.0023,0.4123,HOLD,5m
2025-09-30 15:07:25 UTC,kraken,XLM/USD,0.36209,40.5835,-0.0000,0.0928,HOLD,5m
2025-09-30 15:07:28 UTC,kraken,ETC/USD,18.302,36.9343,-0.0065,0.2786,HOLD,5m
2025-09-30 15:07:30 UTC,kraken,POL/USD,0.22364,41.5248,-0.0001,0.1727,HOLD,5m
2025-09-30 15:08:01 UTC,kraken,BTC/USD,113437.6,55.8291,24.8775,0.6705,HOLD,5m
2025-09-30 15:08:03 UTC,kraken,ETH/USD,4137.0,43.8549,0.7165,0.3463,HOLD,5m
2025-09-30 15:08:05 UTC,kraken,SOL/USD,207.87,53.4784,0.0807,0.5741,HOLD,5m
2025-09-30 15:08:08 UTC,kraken,DOGE/USD,0.2286597,45.3027,0.0000,0.3583,HOLD,5m
2025-09-30 15:08:10 UTC,kraken,XRP/USD,2.84264,46.7483,0.0006,0.4429,HOLD,5m
2025-09-30 15:08:12 UTC,kraken,ADA/USD,0.788125,45.3644,-0.0001,0.2406,HOLD,5m
2025-09-30 15:08:14 UTC,kraken,AVAX/USD,29.22,47.1926,0.0184,0.4755,HOLD,5m
2025-09-30 15:08:16 UTC,kraken,ATOM/USD,4.0187,36.8223,-0.0014,0.0541,HOLD,5m
2025-09-30 15:08:18 UTC,kraken,LINK/USD,21.18406,38.5036,-0.0052,0.0860,HOLD,5m
2025-09-30 15:08:21 UTC,kraken,LTC/USD,104.91,40.6146,-0.0041,0.2437,HOLD,5m
2025-09-30 15:08:23 UTC,kraken,DOT/USD,3.864,42.7785,-0.0007,0.1853,HOLD,5m
2025-09-30 15:08:25 UTC,kraken,BCH/USD,553.92,60.9411,0.2054,0.8285,HOLD,5m
2025-09-30 15:08:27 UTC,kraken,SHIB/USD,1.168e-05,44.6912,0.0000,0.2916,HOLD,5m
2025-09-30 15:08:30 UTC,kraken,UNI/USD,7.5,40.4152,0.0009,0.2345,HOLD,5m
2025-09-30 15:08:32 UTC,kraken,XLM/USD,0.362089,40.5775,-0.0000,0.0925,HOLD,5m
2025-09-30 15:08:34 UTC,kraken,ETC/USD,18.302,36.9343,-0.0065,0.2786,HOLD,5m
2025-09-30 15:08:36 UTC,kraken,POL/USD,0.22364,41.5248,-0.0001,0.1727,HOLD,5m
2025-09-30 15:09:07 UTC,kraken,BTC/USD,113415.7,54.8877,23.4799,0.6385,HOLD,5m
2025-09-30 15:09:09 UTC,kraken,ETH/USD,4134.86,43.9458,0.7280,0.3052,HOLD,5m
2025-09-30 15:09:12 UTC,kraken,SOL/USD,207.87,53.3890,0.0800,0.5743,HOLD,5m
2025-09-30 15:09:14 UTC,kraken,DOGE/USD,0.2285738,44.5508,0.0000,0.3305,HOLD,5m
2025-09-30 15:09:16 UTC,kraken,XRP/USD,2.83831,42.6274,0.0004,0.2694,HOLD,5m
